index,date,Python,C++,C,Java,CUDA,MPI,MIPS Assembly,JavaScript,Prolog,Scheme,Haskell,C#,Kotlin,Salsa,SQL
141,01/19/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,01/20/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,01/21/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,01/22/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,01/23/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,01/24/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,01/25/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,01/26/21,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
149,01/27/21,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
150,01/28/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,01/29/21,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0
152,01/30/21,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
153,01/31/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,02/01/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,02/02/21,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
156,02/03/21,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0
157,02/04/21,0,35,0,0,0,0,0,0,0,0,0,15,0,0,0
158,02/05/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,02/06/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,02/07/21,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
161,02/08/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,02/09/21,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0
163,02/10/21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
164,02/11/21,0,105,0,0,0,0,0,0,0,0,0,5,0,0,0
165,02/12/21,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
166,02/13/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,02/14/21,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
